125	0.75	0.00	0.00	0.75	0.75
126	0.75	0.00	0.00	0.75	0.75
127	0.76	0.00	0.00	0.76	0.76
128	0.76	0.00	0.00	0.76	0.76
129	0.77	0.00	0.00	0.77	0.77
130	0.78	0.00	0.00	0.78	0.78
131	0.78	0.00	0.00	0.78	0.78
132	0.79	0.00	0.00	0.79	0.79
133	0.79	0.00	0.00	0.79	0.79
134	0.80	0.00	0.00	0.80	0.80
135	0.81	0.00	0.00	0.81	0.81
136	0.81	0.00	0.00	0.81	0.81
137	0.82	0.00	0.00	0.82	0.82
138	0.82	0.00	0.00	0.82	0.82
139	0.83	0.00	0.00	0.83	0.83
140	0.84	0.00	0.00	0.84	0.84
141	0.84	0.00	0.00	0.84	0.84
142	0.85	0.00	0.00	0.85	0.85
143	0.85	0.00	0.00	0.85	0.85
144	0.86	0.00	0.00	0.86	0.86
145	0.87	0.00	0.00	0.87	0.87
146	0.87	0.00	0.00	0.87	0.87
147	0.88	0.00	0.00	0.88	0.88
148	0.88	0.00	0.00	0.88	0.88
149	0.89	0.00	0.00	0.89	0.89
150	0.90	0.00	0.00	0.90	0.90
151	0.90	0.00	0.00	0.90	0.90
152	0.91	0.00	0.00	0.91	0.91
153	0.92	0.00	0.00	0.92	0.92
154	0.92	0.00	0.00	0.92	0.92
155	0.93	0.00	0.00	0.93	0.93
156	0.93	0.00	0.00	0.93	0.93
157	0.94	0.00	0.00	0.94	0.94
158	0.95	0.00	0.00	0.95	0.95
159	0.95	0.00	0.00	0.95	0.95
160	0.96	0.00	0.00	0.96	0.96
161	0.96	0.00	0.00	0.96	0.96
162	0.97	0.00	0.00	0.97	0.97
163	0.98	0.00	0.00	0.98	0.98
164	0.98	0.00	0.00	0.98	0.98
165	0.99	0.00	0.00	0.99	0.99
166	0.99	0.00	0.00	0.99	0.99
167	1.00	0.00	0.00	1.00	1.00
168	1.01	0.00	0.00	1.01	1.01
169	1.01	0.00	0.00	1.01	1.01
170	1.02	0.00	0.00	1.02	1.02
171	1.02	0.00	0.00	1.02	1.02
172	1.03	0.00	0.00	1.03	1.03
173	1.04	0.00	0.00	1.04	1.04
174	1.04	0.00	0.00	1.04	1.04
175	1.05	0.00	0.00	1.05	1.05
176	1.05	0.00	0.00	1.05	1.05
177	1.06	0.00	0.00	1.06	1.06
178	1.07	0.00	0.00	1.07	1.07
179	1.07	0.00	0.00	1.07	1.07
180	1.08	0.00	0.00	1.08	1.08
181	1.08	0.00	0.00	1.08	1.08
182	1.09	0.00	0.00	1.09	1.09
183	1.10	0.00	0.00	1.10	1.10
184	1.10	0.00	0.00	1.10	1.10
185	1.11	0.00	0.00	1.11	1.11
186	1.12	0.00	0.00	1.12	1.12
187	1.12	0.00	0.00	1.12	1.12
188	1.13	0.00	0.00	1.13	1.13
189	1.13	0.00	0.00	1.13	1.13
190	1.14	0.00	0.00	1.14	1.14
191	1.15	0.00	0.00	1.15	1.15
192	1.15	0.00	0.00	1.15	1.15
193	1.16	0.00	0.00	1.16	1.16
194	1.16	0.00	0.00	1.16	1.16
195	1.17	0.00	0.00	1.17	1.17
196	1.18	0.00	0.00	1.18	1.18
197	1.18	0.00	0.00	1.18	1.18
198	1.19	0.00	0.00	1.19	1.19
199	1.19	0.00	0.00	1.19	1.19
200	1.20	0.00	0.00	1.20	1.20
201	1.21	0.00	0.00	1.21	1.21
202	1.21	0.00	0.00	1.21	1.21
203	1.22	0.00	0.00	1.22	1.22
204	1.22	0.00	0.00	1.22	1.22
205	1.23	0.00	0.00	1.23	1.23
206	1.24	0.00	0.00	1.24	1.24
207	1.24	0.00	0.00	1.24	1.24
208	1.25	0.00	0.00	1.25	1.25
209	1.25	0.00	0.00	1.25	1.25
210	1.26	0.00	0.00	1.26	1.26
211	1.27	0.00	0.00	1.27	1.27
212	1.27	0.00	0.00	1.27	1.27
213	1.28	0.00	0.00	1.28	1.28
214	1.28	0.00	0.00	1.28	1.28
215	1.29	0.00	0.00	1.29	1.29
216	1.30	0.00	0.00	1.30	1.30
217	1.30	0.00	0.00	1.30	1.30
218	1.31	0.00	0.00	1.31	1.31
219	1.32	0.00	0.00	1.32	1.32
220	1.32	0.00	0.00	1.32	1.32
221	1.33	0.00	0.00	1.33	1.33
222	1.33	0.00	0.00	1.33	1.33
223	1.34	0.00	0.00	1.34	1.34
224	1.35	0.00	0.00	1.35	1.35
225	1.35	0.00	0.00	1.35	1.35
226	1.36	0.00	0.00	1.36	1.36
227	1.36	0.00	0.00	1.36	1.36
228	1.37	0.00	0.00	1.37	1.37
229	1.38	0.00	0.00	1.38	1.38
230	1.38	0.00	0.00	1.38	1.38
231	1.39	0.00	0.00	1.39	1.39
232	1.39	0.00	0.00	1.39	1.39
233	1.40	0.00	0.00	1.40	1.40
234	1.41	0.00	0.00	1.41	1.41
235	1.41	0.00	0.00	1.41	1.41
236	1.42	0.00	0.00	1.42	1.42
237	1.42	0.00	0.00	1.42	1.42
238	1.43	0.00	0.00	1.43	1.43
239	1.44	0.00	0.00	1.44	1.44
240	1.44	0.00	0.00	1.44	1.44
241	1.45	0.00	0.00	1.45	1.45
242	1.45	0.00	0.00	1.45	1.45
243	1.46	0.00	0.00	1.46	1.46
244	1.47	0.00	0.00	1.47	1.47
245	1.47	0.00	0.00	1.47	1.47
246	1.48	0.00	0.00	1.48	1.48
247	1.48	0.00	0.00	1.48	1.48
248	1.49	0.00	0.00	1.49	1.49
249	1.50	0.00	0.00	1.50	1.50
250	1.50	0.00	0.00	1.50	1.50
251	1.51	0.00	0.00	1.51	1.51
