0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
2.479	2.636	3.239	1000.000	2.520	1000.000	3.282	2.663	2.500	
2.479	2.637	3.239	3.862	2.300	2.355	3.282	2.663	2.500	
2.479	2.636	3.239	3.658	2.100	2.152	3.282	2.663	2.500	
2.479	2.636	3.239	3.455	1.900	1.949	3.282	2.663	2.500	
2.479	2.636	3.239	3.252	1.700	1.746	3.282	2.663	2.500	
1.581	1.687	2.082	2.257	2.224	2.272	2.585	3.477	1.920	
1.583	1.688	2.084	2.087	2.057	2.092	2.391	3.212	3.400	
1.585	1.690	2.086	1.884	1.857	1.888	2.159	2.902	3.394	
1.587	1.692	1.913	1.681	1.657	1.685	1.926	2.582	3.393	
1.588	1.694	1.682	1.479	1.457	1.482	1.698	2.268	3.391	
1.590	1.696	1.451	1.276	1.257	1.278	1.465	1.982	3.389	
3.484	2.013	1.520	1.342	1.324	1.349	1.548	1.583	1.495	
3.233	1.716	1.308	1.154	1.140	1.161	1.327	1.579	1.492	
2.638	1.410	1.079	0.952	0.940	0.957	1.098	1.477	1.488	
2.068	1.108	0.849	0.749	0.740	0.753	0.864	1.157	1.484	
1.516	0.813	0.619	0.547	0.540	0.550	0.631	0.844	1.500	
1.735	0.658	0.459	0.378	0.360	0.360	0.388	0.484	0.745	
2.922	3.113	3.671	3.251	3.107	1.126	0.795	0.654	0.620	
2.915	1000.000	3.443	3.050	3.015	1.124	0.769	0.633	0.600	
2.902	1000.000	3.215	2.848	2.815	1.124	0.769	0.633	0.600	
2.901	1000.000	2.987	2.645	2.615	1.124	0.769	0.633	0.600	
2.941	3.663	2.758	2.443	2.415	1.100	0.744	0.611	0.580	
2.821	2.807	1000.000	2.860	2.394	2.290	1.760	1.010	0.782	
